Epoch,Train_loss,Test_loss,Train_Precision,Test_Precision,Train_Recall,Test_Recall,Train_F1,Test_F1,Train_IOU,Test_IOU
0,3.2957,2.8191,0.1162,0.1447,0.3272,0.2821,0.1575,0.1862,0.0874,0.1033
1,2.2832,2.2299,nan,0.0982,0.02,0,0.0255,0.0001,0.0135,0
2,2.2263,2.2105,nan,0.0976,0.0105,0.0001,0.018,0.0002,0.0097,0.0001
3,2.1765,2.1433,nan,0.3759,0.0315,0.0051,0.0521,0.0098,0.0298,0.0051
4,2.0773,2.1407,nan,0.6575,0.1904,0.0402,0.2614,0.0731,0.1714,0.0397
5,1.9692,2.0373,0.8079,0.9245,0.3595,0.1183,0.4608,0.203,0.3207,0.1177
6,1.8901,2.0309,0.8335,0.9374,0.4552,0.1366,0.5588,0.2307,0.4078,0.1362
7,1.8255,1.9731,0.8546,0.9869,0.5189,0.1894,0.621,0.3067,0.4685,0.1889
8,1.7646,1.8593,0.8677,0.9806,0.5626,0.3049,0.6598,0.4485,0.51,0.3029
9,1.7046,1.9201,0.8754,0.9871,0.6022,0.2287,0.6927,0.3554,0.5466,0.228
10,1.649,1.8122,0.881,0.9815,0.6304,0.3085,0.7185,0.4535,0.5733,0.3069
11,1.5891,1.6832,0.8839,0.9604,0.6439,0.4482,0.7279,0.5964,0.586,0.4405
12,1.5262,1.7382,0.8867,0.9853,0.6591,0.2873,0.7381,0.4281,0.5987,0.286
13,1.451,1.7629,0.8905,0.99,0.6682,0.272,0.7488,0.4102,0.6103,0.2711
14,1.3662,1.4998,0.8968,0.9674,0.6684,0.437,0.7527,0.5875,0.6145,0.4313
15,1.2862,1.4986,0.8975,0.9768,0.6521,0.3459,0.7415,0.4954,0.5995,0.3432
16,1.225,1.5539,0.899,0.9917,0.6448,0.2381,0.7349,0.3719,0.5925,0.2375
17,1.1815,1.4703,0.9021,0.9826,0.639,0.287,0.7332,0.4271,0.5897,0.2856
18,1.1536,1.5579,0.8978,0.982,0.6433,0.2222,0.7327,0.3482,0.5911,0.2211
19,1.1044,1.442,0.8979,0.9828,0.6518,0.2485,0.7395,0.3802,0.5985,0.2476
20,1.0895,1.4408,0.8977,0.9811,0.6556,0.3425,0.7434,0.488,0.602,0.3397
21,1.0466,1.3545,0.8964,0.969,0.6636,0.4126,0.7471,0.5613,0.6076,0.4074
22,1.0253,1.4447,0.8955,0.9829,0.6694,0.2644,0.7517,0.3983,0.6128,0.2628
23,0.9965,1.344,0.9002,0.9647,0.6822,0.4079,0.7609,0.5573,0.6247,0.403
24,0.728115217,1.192504348,0.1162,1.211172101,0.834714855,0.403927174,0.955206159,0.597196377,0.783892754,0.415191667
